ID,Tipo_Prueba,Texto_Entrada,Sentimiento_Esperado,Emocion_Esperada,Friccion_Esperada,Churn_Intent,Risk_Score_Minimo,Mascaras_Esperadas
SEM_001,Modismos_Coloquiales_Latam,Esta vaina no sirve para nada que porqueria de aplicacion me canse de botar plata y cancelo mi cuenta.,NEGATIVE,FRUSTRATION,product_reliability,True,80,N/A
SEM_002,Modismos_Coloquiales_Latam,Un fiasco total llevo mamado de esperar que me respondan un bendito ticket de soporte denme de baja ya.,NEGATIVE,FRUSTRATION,customer_support,True,85,N/A
SEM_003,Modismos_Coloquiales_Latam,Que robo tan descarado con ese cobro duplicado en la tarjeta exijo la devolucion de mi plata y la baja del plan.,NEGATIVE,FRUSTRATION,billing_pricing,True,85,N/A
SEM_004,Modismos_Coloquiales_Latam,Me tienen harto con tanta inconsistencia y caida de servidor no joda voy a buscar otro servicio.,NEGATIVE,FRUSTRATION,product_reliability,True,80,N/A
SEM_005,Modismos_Coloquiales_Latam,Que asco de atencion el asesor me colgo la llamada sin resolver nada cierren mi perfil definitivamente.,NEGATIVE,FRUSTRATION,customer_support,True,85,N/A
SEM_006,Modismos_Coloquiales_Latam,Esa plataforma es una basura se pasa cayendo a cada rato no sigo pagando esta mensualidad ni loco.,NEGATIVE,FRUSTRATION,product_reliability,True,80,N/A
SEM_007,Modismos_Coloquiales_Latam,Pura incompetencia en ese soporte tecnico llevo semanas perdiendo plata cancelen mi suscripcion de una vez.,NEGATIVE,FRUSTRATION,customer_support,True,85,N/A
SEM_008,Modismos_Coloquiales_Latam,Que descaro cobrar por un servicio tan malo e inestable no pienso renovar el proximo mes.,NEGATIVE,FRUSTRATION,billing_pricing,True,80,N/A
SEM_009,Modismos_Coloquiales_Latam,No me aguanto mas este desastre de app me paso a la competencia hoy mismo.,NEGATIVE,FRUSTRATION,product_reliability,True,80,N/A
SEM_010,Modismos_Coloquiales_Latam,Estoy mamado de los errores en cada factura anulen mi contrato de inmediato.,NEGATIVE,FRUSTRATION,billing_pricing,True,85,N/A
SEM_011,Frustracion_SLA_Soporte,Llevo 5 dias con el ticket de soporte abierto sin recibir respuesta alguna sobre el bloqueo de mi cuenta.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_012,Frustracion_SLA_Soporte,Nadie contesta en el chat en vivo y la linea telefonica siempre da ocupada es una pesima atencion al cliente.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_013,Frustracion_SLA_Soporte,El tiempo de respuesta es inaceptable han incumplido completamente el SLA acordado en el contrato.,NEGATIVE,FRUSTRATION,sla_delay,False,60,N/A
SEM_014,Frustracion_SLA_Soporte,El asesor tecnico cerro mi solicitud sin verificar si el error en el servidor habia quedado solucionado.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_015,Frustracion_SLA_Soporte,Llevo semanas esperando la reactivacion de mis credenciales y siguen ignorando mis correos de urgencia.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_016,Frustracion_SLA_Soporte,Atencion al cliente totalmente deficiente ningun agente asume responsabilidad por la falla en mi dashboard.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_017,Frustracion_SLA_Soporte,Cada vez que contacto a soporte me transfieren a otra persona y nadie resuelve el incidente critico.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_018,Frustracion_SLA_Soporte,El tiempo de demora para atender una emergencia en produccion supero las 48 horas sin explicacion.,NEGATIVE,FRUSTRATION,sla_delay,False,60,N/A
SEM_019,Frustracion_SLA_Soporte,Pedi hablar con un supervisor de soporte y se negaron rotundamente a escalar el caso de fallo reiterado.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_020,Frustracion_SLA_Soporte,Soporte tecnico grosero y desatento dejaron el sistema inoperativo durante todo el fin de semana.,NEGATIVE,FRUSTRATION,customer_support,False,60,N/A
SEM_021,Cobros_Facturacion_Friccion,Me aplicaron un sobrecargo duplicado en la tarjeta de credito sin ningun tipo de autorizacion previa.,NEGATIVE,FRUSTRATION,billing_pricing,False,55,N/A
SEM_022,Cobros_Facturacion_Friccion,Aumento abusivo en la factura mensual que no corresponde con la tarifa contratada originalmente.,NEGATIVE,FRUSTRATION,billing_pricing,False,55,N/A
SEM_023,Cobros_Facturacion_Friccion,Cobro indebido de un servicio adicional que nunca solicite ni configure en la plataforma.,NEGATIVE,FRUSTRATION,billing_pricing,False,55,N/A
SEM_024,Cobros_Facturacion_Friccion,Factura con cobros ocultos e inconsistencias graves en el calculo de impuestos y renovacion.,NEGATIVE,FRUSTRATION,billing_pricing,False,55,N/A
SEM_025,Cobros_Facturacion_Friccion,Llevo 2 meses solicitando el reembolso de un cobro erroneo y siguen dilatando el proceso de pago.,NEGATIVE,FRUSTRATION,billing_pricing,True,80,N/A
SEM_026,Cobros_Facturacion_Friccion,Me debitaron el valor del plan anual cuando habia marcado expresamente la cancelacion de suscripcion.,NEGATIVE,FRUSTRATION,billing_pricing,True,85,N/A
SEM_027,Cobros_Facturacion_Friccion,Inconsistencia total en el estado de cuenta: me cobran dos veces por el mismo usuario registrado.,NEGATIVE,FRUSTRATION,billing_pricing,False,55,N/A
SEM_028,Cobros_Facturacion_Friccion,Aparece una penalidad economica injustificada por darme de baja antes de tiempo.,NEGATIVE,FRUSTRATION,billing_pricing,True,80,N/A
SEM_029,Cobros_Facturacion_Friccion,El sistema sigue facturando de forma automatica a pesar de haber solicitado el cese de pagos.,NEGATIVE,FRUSTRATION,billing_pricing,True,85,N/A
SEM_030,Cobros_Facturacion_Friccion,Bloquearon mi acceso por supuesto saldo pendiente cuando el comprobante de transferencia bancaria fue enviado a tiempo.,NEGATIVE,FRUSTRATION,billing_pricing,False,60,N/A
