ID,Cliente_ID,Canal,Tier,Mensaje_Cliente,Es_Duplicado,Es_Corrupto
BATCH_050,CUST-1050,chat,Enterprise,"Daremos aviso de no renovación en el próximo ciclo comercial.",False,False
BATCH_025,CUST-1025,support_ticket,Enterprise,"Exigimos la devolución del saldo a favor; migramos a otra app.",True,False
BATCH_051,CUST-1051,support_ticket,Standard,"El botón de descargar reporte no funciona en Chrome.",False,False
BATCH_052,CUST-1052,review,Enterprise,"Genios absolutos, cobraron el triple en la factura de pruebas.",False,False
BATCH_053,CUST-1053,chat,Standard,"Muchas gracias por la pronta solución.",False,False
BATCH_054,CUST-1054,support_ticket,Enterprise,"La junta directiva decidió recortar presupuesto en esta herramienta.",False,False
BATCH_055,CUST-1055,nps_survey,Standard,"Excelente atención al cliente, felicitaciones.",False,False
BATCH_056,CUST-1056,chat,Enterprise,"El servidor estuvo inoperativo durante todo el fin de semana.",False,False
BATCH_057,CUST-1057,support_ticket,Standard,"Cobro no autorizado en mi tarjeta Visa terminada en 8899.",False,False
BATCH_058,CUST-1058,review,Enterprise,"Estamos programando la salida definitiva de la plataforma.",False,False
BATCH_059,CUST-1059,chat,Standard,"Hola, ¿dónde puedo ver mi historial de transacciones?",False,False
BATCH_060,CUST-1060,nps_survey,Enterprise,"Muy conformes con el rendimiento y soporte de la plataforma.",False,False
BATCH_037,CUST-1037,support_ticket,Enterprise,"Ya construimos un módulo interno para reemplazar este sistema.",True,False
BATCH_061,CUST-1061,support_ticket,Enterprise,"Pedimos tramitar la baja del servicio para evitar prórrogas automáticas.",False,False
BATCH_062,CUST-1062,chat,Standard,"La aplicación es súper rápida, me encanta.",False,False
BATCH_063,CUST-1063,review,Enterprise,"Qué seguridad tan impecable, expusieron datos de clientes.",False,False
BATCH_064,CUST-1064,support_ticket,Standard,"Nadie contesta en el chat de soporte, pésimo servicio.",False,False
BATCH_065,CUST-1065,nps_survey,Enterprise,"Plataforma 100% recomendada para gestión corporativa.",False,False
BATCH_066,CUST-1066,chat,Enterprise,"El mes que viene nos pasamos a la competencia sin falta.",False,False
BATCH_067,CUST-1067,support_ticket,Standard,"Soy María con Cédula 304050, cuenta de ahorros 987654321.",False,False
BATCH_068,CUST-1068,review,Enterprise,"El sistema borró los registros de auditoría de la semana.",False,False
BATCH_069,CUST-1069,chat,Standard,"Resuelto el problema con el inicio de sesión, gracias.",False,False
BATCH_070,CUST-1070,nps_survey,Enterprise,"Estamos evaluando cotizaciones con otros proveedores.",False,False
BATCH_045,CUST-1045,support_ticket,Enterprise,"Solicito formalmente la baja total de nuestros 50 usuarios corporativos.",True,False
BATCH_071,CUST-1071,support_ticket,Standard,"Me aparece una penalidad injustificada por cancelar el plan.",False,False
BATCH_072,CUST-1072,chat,Enterprise,"La nueva actualización rompió las integraciones de producción.",False,False
BATCH_073,CUST-1073,review,Standard,"Excelente soporte, el agente fue muy amable y atento.",False,False
BATCH_074,CUST-1074,nps_survey,Enterprise,"Cierren nuestra cuenta corporativa de forma definitiva.",False,False
BATCH_075,CUST-1075,support_ticket,Standard,"Inconsistencia en el total facturado del mes de julio.",False,False
BATCH_076,CUST-1076,chat,Enterprise,"El tiempo de respuesta de la API es inaceptable.",False,False
BATCH_077,CUST-1077,review,Standard,"Servicio muy rápido y eficaz, satisfecho con la compra.",False,False
BATCH_078,CUST-1078,support_ticket,Enterprise,"Por favor suspender el cobro recurrente para no perder este cliente.",False,False
BATCH_079,CUST-1079,nps_survey,Standard,"No entiendo la navegación del nuevo dashboard.",False,False
BATCH_080,CUST-1080,chat,Enterprise,"Exigimos el reintegro total del dinero pagado por adelantado.",False,False
BATCH_066,CUST-1066,chat,Enterprise,"El mes que viene nos pasamos a la competencia sin falta.",True,False
BATCH_081,CUST-1081,support_ticket,Standard,"El asesor técnico me atendió con grosería y desatención.",False,False
BATCH_082,CUST-1082,review,Enterprise,"La plataforma colapsó en pleno lanzamiento comercial.",False,False
BATCH_083,CUST-1083,chat,Standard,"Todo funciona perfecto, muchas gracias.",False,False
BATCH_084,CUST-1084,nps_survey,Enterprise,"No vemos retorno de inversión claro con tantas caídas.",False,False
BATCH_085,CUST-1085,support_ticket,Standard,"Mi clave es TempPass123$ y mi usuario es usr_998877.",False,False
BATCH_086,CUST-1086,chat,Enterprise,"Iniciaremos la migración de datos hacia una infraestructura externa.",False,False
BATCH_087,CUST-1087,review,Standard,"Muy buen producto, fácil de integrar y muy seguro.",False,False
BATCH_088,CUST-1088,support_ticket,Enterprise,"El soporte técnico ignora nuestros correos de alta prioridad.",False,False
BATCH_089,CUST-1089,nps_survey,Standard,"Me encanta la velocidad y el diseño del sistema.",False,False
BATCH_090,CUST-1090,chat,Enterprise,"Solicitamos no renovar la suscripción al finalizar el trimestre.",False,False
BATCH_074,CUST-1074,nps_survey,Enterprise,"Cierren nuestra cuenta corporativa de forma definitiva.",True,False
BATCH_091,CUST-1091,support_ticket,Standard,"El sistema sigue cobrando a pesar de haber dado de baja la cuenta.",False,False
BATCH_092,CUST-1092,review,Enterprise,"Vaya maravilla de cobro duplicado en la tarjeta corporativa.",False,False
BATCH_093,CUST-1093,chat,Standard,"Resuelto en menos de 5 minutos, excelente.",False,False
BATCH_094,CUST-1094,support_ticket,Enterprise,"La junta directiva autorizó rescindir el contrato inmediatamente.",False,False
BATCH_095,CUST-1095,nps_survey,Standard,"Todo muy claro y sin complicaciones.",False,False
BATCH_096,CUST-1096,chat,Enterprise,"El servicio es inestable y no cumple con los estándares empresariales.",False,False
BATCH_097,CUST-1097,review,Standard,"Atención pésima, me dejaron esperando 30 minutos.",False,False
BATCH_098,CUST-1098,support_ticket,Enterprise,"Nos pasamos a la competencia a partir del próximo mes.",False,False
BATCH_099,CUST-1099,chat,Standard,"Excelente servicio, muchas gracias por todo.",False,False
BATCH_100,CUST-1100,nps_survey,Enterprise,"Daremos de baja el servicio definitivamente por falta de soporte.",False,False
