customer_external_id,source_type,tier,content,external_reference_id
CUST-1019,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte.",EVT-0000018
CUST-1020,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks.,EVT-0000019
CUST-1021,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks?,EVT-0000020
CUST-1022,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API.,EVT-0000021
CUST-1023,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria.",EVT-0000022
CUST-1024,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales.,EVT-0000023
CUST-1025,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release?,EVT-0000024
CUST-1026,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo.,EVT-0000025
CUST-1027,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #26),EVT-0000026
CUST-1028,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #27),EVT-0000027
CUST-1029,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #28),EVT-0000028
CUST-1030,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #29),EVT-0000029
CUST-1031,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #30)",EVT-0000030
CUST-1032,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #31)",EVT-0000031
CUST-1033,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #32),EVT-0000032
CUST-1034,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #33)",EVT-0000033
CUST-1035,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #34),EVT-0000034
CUST-1036,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #35),EVT-0000035
CUST-1037,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #36),EVT-0000036
CUST-1038,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #37),EVT-0000037
CUST-1039,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #38),EVT-0000038
CUST-1040,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #39),EVT-0000039
CUST-1041,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #40)",EVT-0000040
CUST-1042,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #41)",EVT-0000041
CUST-1043,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #42)",EVT-0000042
CUST-1044,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #43)",EVT-0000043
CUST-1045,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #44),EVT-0000044
CUST-1046,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #45),EVT-0000045
CUST-1047,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #46),EVT-0000046
CUST-1048,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #47)",EVT-0000047
CUST-1049,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #48),EVT-0000048
CUST-1050,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #49),EVT-0000049
CUST-1051,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #50),EVT-0000050
CUST-1052,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #51),EVT-0000051
CUST-1053,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #52),EVT-0000052
CUST-1054,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #53),EVT-0000053
CUST-1055,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #54),EVT-0000054
CUST-1056,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #55)",EVT-0000055
CUST-1057,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #56)",EVT-0000056
CUST-1058,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #57),EVT-0000057
CUST-1059,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #58)",EVT-0000058
CUST-1060,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #59),EVT-0000059
CUST-1061,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #60),EVT-0000060
CUST-1062,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #61),EVT-0000061
CUST-1063,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #62),EVT-0000062
CUST-1064,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #63),EVT-0000063
CUST-1065,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #64),EVT-0000064
CUST-1066,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #65)",EVT-0000065
CUST-1067,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #66)",EVT-0000066
CUST-1068,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #67)",EVT-0000067
CUST-1069,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #68)",EVT-0000068
CUST-1070,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #69),EVT-0000069
CUST-1071,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #70),EVT-0000070
CUST-1072,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #71),EVT-0000071
CUST-1073,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #72)",EVT-0000072
CUST-1074,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #73),EVT-0000073
CUST-1075,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #74),EVT-0000074
CUST-1076,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #75),EVT-0000075
CUST-1077,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #76),EVT-0000076
CUST-1078,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #77),EVT-0000077
CUST-1079,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #78),EVT-0000078
CUST-1080,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #79),EVT-0000079
CUST-1081,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #80)",EVT-0000080
CUST-1082,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #81)",EVT-0000081
CUST-1083,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #82),EVT-0000082
CUST-1084,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #83)",EVT-0000083
CUST-1085,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #84),EVT-0000084
CUST-1086,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #85),EVT-0000085
CUST-1087,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #86),EVT-0000086
CUST-1088,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #87),EVT-0000087
CUST-1089,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #88),EVT-0000088
CUST-1090,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #89),EVT-0000089
CUST-1091,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #90)",EVT-0000090
CUST-1092,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #91)",EVT-0000091
CUST-1093,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #92)",EVT-0000092
CUST-1094,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #93)",EVT-0000093
CUST-1095,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #94),EVT-0000094
CUST-1096,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #95),EVT-0000095
CUST-1097,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #96),EVT-0000096
CUST-1098,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #97)",EVT-0000097
CUST-1099,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #98),EVT-0000098
CUST-1100,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #99),EVT-0000099
CUST-1101,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #100),EVT-0000100
CUST-1102,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #101),EVT-0000101
CUST-1103,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #102),EVT-0000102
CUST-1104,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #103),EVT-0000103
CUST-1105,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #104),EVT-0000104
CUST-1106,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #105)",EVT-0000105
CUST-1107,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #106)",EVT-0000106
CUST-1108,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #107),EVT-0000107
CUST-1109,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #108)",EVT-0000108
CUST-1110,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #109),EVT-0000109
CUST-1111,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #110),EVT-0000110
CUST-1112,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #111),EVT-0000111
CUST-1113,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #112),EVT-0000112
CUST-1114,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #113),EVT-0000113
CUST-1115,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #114),EVT-0000114
CUST-1116,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #115)",EVT-0000115
CUST-1117,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #116)",EVT-0000116
CUST-1118,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #117)",EVT-0000117
CUST-1119,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #118)",EVT-0000118
CUST-1120,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #119),EVT-0000119
CUST-1121,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #120),EVT-0000120
CUST-1122,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #121),EVT-0000121
CUST-1123,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #122)",EVT-0000122
CUST-1124,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #123),EVT-0000123
CUST-1125,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #124),EVT-0000124
CUST-1126,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #125),EVT-0000125
CUST-1127,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #126),EVT-0000126
CUST-1128,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #127),EVT-0000127
CUST-1129,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #128),EVT-0000128
CUST-1130,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #129),EVT-0000129
CUST-1131,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #130)",EVT-0000130
CUST-1132,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #131)",EVT-0000131
CUST-1133,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #132),EVT-0000132
CUST-1134,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #133)",EVT-0000133
CUST-1135,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #134),EVT-0000134
CUST-1136,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #135),EVT-0000135
CUST-1137,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #136),EVT-0000136
CUST-1138,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #137),EVT-0000137
CUST-1139,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #138),EVT-0000138
CUST-1140,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #139),EVT-0000139
CUST-1141,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #140)",EVT-0000140
CUST-1142,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #141)",EVT-0000141
CUST-1143,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #142)",EVT-0000142
CUST-1144,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #143)",EVT-0000143
CUST-1145,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #144),EVT-0000144
CUST-1146,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #145),EVT-0000145
CUST-1147,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #146),EVT-0000146
CUST-1148,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #147)",EVT-0000147
CUST-1149,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #148),EVT-0000148
CUST-1150,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #149),EVT-0000149
CUST-1151,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #150),EVT-0000150
CUST-1152,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #151),EVT-0000151
CUST-1153,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #152),EVT-0000152
CUST-1154,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #153),EVT-0000153
CUST-1155,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #154),EVT-0000154
CUST-1156,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #155)",EVT-0000155
CUST-1157,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #156)",EVT-0000156
CUST-1158,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #157),EVT-0000157
CUST-1159,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #158)",EVT-0000158
CUST-1160,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #159),EVT-0000159
CUST-1161,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #160),EVT-0000160
CUST-1162,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #161),EVT-0000161
CUST-1163,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #162),EVT-0000162
CUST-1164,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #163),EVT-0000163
CUST-1165,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #164),EVT-0000164
CUST-1166,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #165)",EVT-0000165
CUST-1167,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #166)",EVT-0000166
CUST-1168,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #167)",EVT-0000167
CUST-1169,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #168)",EVT-0000168
CUST-1170,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #169),EVT-0000169
CUST-1171,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #170),EVT-0000170
CUST-1172,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #171),EVT-0000171
CUST-1173,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #172)",EVT-0000172
CUST-1174,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #173),EVT-0000173
CUST-1175,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #174),EVT-0000174
CUST-1176,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #175),EVT-0000175
CUST-1177,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #176),EVT-0000176
CUST-1178,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #177),EVT-0000177
CUST-1179,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #178),EVT-0000178
CUST-1180,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #179),EVT-0000179
CUST-1181,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #180)",EVT-0000180
CUST-1182,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #181)",EVT-0000181
CUST-1183,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #182),EVT-0000182
CUST-1184,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #183)",EVT-0000183
CUST-1185,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #184),EVT-0000184
CUST-1186,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #185),EVT-0000185
CUST-1187,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #186),EVT-0000186
CUST-1188,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #187),EVT-0000187
CUST-1189,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue. (Ref: #188),EVT-0000188
CUST-1190,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior. (Ref: #189),EVT-0000189
CUST-1191,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable. (Ref: #190)",EVT-0000190
CUST-1192,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva. (Ref: #191)",EVT-0000191
CUST-1193,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención. (Ref: #192)",EVT-0000192
CUST-1194,nps_survey,Pro,"Plataforma 100% recomendada para gestión corporativa, gran rendimiento y soporte. (Ref: #193)",EVT-0000193
CUST-1195,review,Enterprise,Todo perfecto con el proceso de onboarding y la integración de webhooks. (Ref: #194),EVT-0000194
CUST-1196,chat,Standard,¿Dónde puedo consultar la documentación técnica sobre la integración con Webhooks? (Ref: #195),EVT-0000195
CUST-1197,support_ticket,Pro,Solicitud de información sobre los nuevos planes comerciales y límites de consumo de API. (Ref: #196),EVT-0000196
CUST-1198,chat,Standard,"Buenas tardes, quería consultar sobre las opciones de pago mediante transferencia bancaria. (Ref: #197)",EVT-0000197
CUST-1199,nps_survey,Standard,El sistema cumple con lo esperado para nuestras necesidades actuales. (Ref: #198),EVT-0000198
CUST-1200,chat,Pro,¿Tienen previsto agregar soporte para exportación directa a BigQuery en el próximo release? (Ref: #199),EVT-0000199
CUST-1201,support_ticket,Enterprise,El tiempo de inactividad de la base de datos superó el SLA pactado. Si no resuelven hoy cancelamos el contrato corporativo. (Ref: #200),EVT-0000200
CUST-1202,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana. (Ref: #201),EVT-0000201
CUST-1203,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad. (Ref: #202),EVT-0000202
CUST-1204,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas. (Ref: #203),EVT-0000203
CUST-1205,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción. (Ref: #204),EVT-0000204
CUST-1206,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos. (Ref: #205)",EVT-0000205
CUST-1207,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría. (Ref: #206)",EVT-0000206
CUST-1208,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat. (Ref: #207),EVT-0000207
CUST-1209,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina. (Ref: #208)",EVT-0000208
CUST-1210,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto. (Ref: #209),EVT-0000209
CUST-1211,chat,Standard,No me llega el correo de verificación para restablecer la contraseña. (Ref: #210),EVT-0000210
CUST-1212,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador. (Ref: #211),EVT-0000211
CUST-1213,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente. (Ref: #212),EVT-0000212
